TIME,O3PPM,TMP,RH%
11:49:7,22.007208,32.6,20.9
11:49:7,21.992004,32.6,20.9
11:49:8,21.961185,32.7,20.9
11:49:8,21.953796,32.7,20.9
11:49:8,21.929626,32.6,20.9
11:49:8,21.91598,32.6,20.9
11:49:8,21.88674,32.6,20.9
11:49:8,21.880903,32.6,20.9
11:49:9,21.873528,32.7,20.9
11:49:9,21.848227,32.7,20.9
11:49:9,21.841288,32.7,20.9
11:49:9,21.818705,32.7,20.9
11:49:9,21.787687,32.6,20.9
11:49:9,21.773663,32.6,20.9
11:49:9,21.757366,32.7,20.9
11:49:10,21.73686,32.7,20.9
11:49:10,21.728764,32.6,20.9
11:49:10,21.719063,32.6,20.9
11:49:10,21.683414,32.6,20.9
11:49:10,21.675325,32.6,20.9
11:49:10,21.659405,32.6,20.9
11:49:11,21.64981,32.6,20.9
11:49:11,21.631966,32.7,20.9
11:49:11,21.614641,32.7,20.9
11:49:11,21.591436,32.7,20.9
11:49:11,21.570595,32.7,20.9
11:49:11,21.551361,32.6,20.9
11:49:11,21.536337,32.6,20.9
11:49:12,21.526352,32.7,20.9
11:49:12,21.505133,32.7,20.9
11:49:12,21.484007,32.7,20.9
11:49:12,21.483173,32.7,20.9
11:49:12,21.462055,32.7,20.9
11:49:12,21.44589,32.7,20.9
11:49:13,21.42321,32.7,20.9
11:49:13,21.410997,32.7,20.9
11:49:13,21.38834,32.6,20.9
11:49:13,21.378727,32.6,20.9
11:49:13,21.358416,32.6,20.9
11:49:13,21.352325,32.6,20.9
11:49:13,21.320103,32.7,20.9
11:49:14,21.309755,32.7,20.9
11:49:14,21.289492,32.6,20.9
11:49:14,21.269236,32.6,20.9
11:49:14,21.253988,32.6,20.9
11:49:14,21.245575,32.6,20.9
11:49:14,21.246326,32.7,20.9
11:49:15,21.21386,32.7,20.9
11:49:15,21.19556,32.7,20.9
11:49:15,21.189827,32.7,20.9
11:49:15,21.174194,32.7,20.9
11:49:15,21.150185,32.7,20.9
11:49:15,21.141792,32.7,20.9
11:49:15,21.13914,32.7,20.9
11:49:16,21.118551,32.7,20.9
11:49:16,21.104525,32.7,20.9
11:49:16,21.078648,32.7,20.9
11:49:16,21.06348,32.7,20.9
11:49:16,21.05586,32.7,20.9
11:49:16,21.042606,32.7,20.9
11:49:17,21.014132,32.7,20.9
11:49:17,21.008415,32.7,20.9
11:49:17,20.989803,32.7,20.9
11:49:17,20.967813,32.7,20.9
11:49:17,20.965584,32.6,20.9
11:49:17,20.937166,32.6,20.9
11:49:17,20.94055,32.7,20.9
11:49:18,20.920155,32.7,20.9
11:49:18,20.907278,32.7,20.9
11:49:18,20.88006,32.7,20.9
11:49:18,20.872555,32.6,20.9
11:49:18,20.85022,32.6,20.9
11:49:18,20.847254,32.6,20.9
11:49:19,20.82609,32.6,20.9
11:49:19,20.810617,32.6,20.9
11:49:19,20.781984,32.6,20.9
11:49:19,20.789555,32.6,20.9
11:49:19,20.752968,32.6,20.9
11:49:19,20.742455,32.7,20.9
11:49:19,20.73227,32.7,20.9
11:49:20,20.725126,32.7,20.9
11:49:20,20.693197,32.7,20.9
11:49:20,20.686802,32.7,20.9
11:49:20,20.6654,32.7,20.9
11:49:20,20.64852,32.7,20.9
11:49:20,20.640657,32.7,20.9
11:49:21,20.62452,32.7,20.9
11:49:21,20.612896,32.7,20.9
11:49:21,20.591864,32.7,20.9
11:49:21,20.573957,32.7,20.9
11:49:21,20.568312,32.7,20.9
11:49:21,20.559322,32.7,20.9
11:49:22,20.534649,32.7,20.9
11:49:22,20.52118,32.7,20.9
11:49:22,20.508848,32.6,20.9
11:49:22,20.495388,32.6,20.9
11:49:22,20.474913,32.6,20.9
11:49:22,20.454374,32.6,20.9
11:49:22,20.427485,32.7,20.9
11:49:23,20.433434,32.7,20.9
11:49:23,20.415606,32.7,20.9
11:49:23,20.409252,32.7,20.9
11:49:23,20.3955,32.6,20.8
11:49:23,20.380215,32.6,20.8
11:49:23,20.361588,32.7,20.9
11:49:24,20.351187,32.7,20.9
11:49:24,20.327066,32.7,20.9
11:49:24,20.315863,32.7,20.9
11:49:24,20.30401,32.7,20.9
11:49:24,20.302141,32.7,20.9
11:49:24,20.276918,32.7,20.9
11:49:24,20.26654,32.7,20.9
11:49:25,20.247978,32.7,20.9
11:49:25,20.231699,32.7,20.9
11:49:25,20.229433,32.7,20.9
11:49:25,20.21688,32.7,20.9
11:49:25,20.182493,32.7,20.8
11:49:25,20.17651,32.7,20.8
11:49:26,20.162123,32.7,20.8
11:49:26,20.147736,32.7,20.8
11:49:26,20.148062,32.7,20.8
11:49:26,20.117046,32.7,20.8
11:49:26,20.101955,32.7,20.8
11:49:26,20.091629,32.7,20.8
11:49:26,20.0901,32.7,20.8
11:49:27,20.070177,32.7,20.8
11:49:27,20.042944,32.7,20.8
11:49:27,20.034487,32.7,20.8
11:49:27,20.031183,32.7,20.8
11:49:27,20.01718,32.7,20.8
11:49:27,19.987406,32.7,20.8
